CustomerId,total_transaction_amount,average_transaction_amount,transaction_count,std_transaction_amount,total_value,average_value,max_value,credit_txn_ratio,debit_txn_ratio,unique_product_categories,unique_channels,unique_providers,fraud_txn_count,most_common_product_category,most_common_channel,most_common_pricing_strategy,avg_transaction_hour,avg_transaction_day,avg_transaction_month,avg_transaction_year,Recency,Frequency,Monetary,rfm_cluster,is_high_risk
CustomerId_1,-10000.0,-10000.0,1,0.0,10000,10000.0,10000,1.0,0.0,1,1,1,0,airtime,ChannelId_2,4,16.0,21.0,11.0,2018.0,84,1,10000,3,0
CustomerId_10,-10000.0,-10000.0,1,0.0,10000,10000.0,10000,1.0,0.0,1,1,1,0,airtime,ChannelId_2,4,16.0,21.0,11.0,2018.0,84,1,10000,3,0
CustomerId_1001,20000.0,4000.0,5,6558.963332722634,30400,6080.0,10000,0.4,0.6,2,2,3,0,financial_services,ChannelId_3,2,7.8,16.0,11.0,2018.0,90,5,30400,3,0
CustomerId_1002,4225.0,384.09090909090907,11,560.4989660196449,4775,434.09090909090907,1500,0.5454545454545454,0.45454545454545453,2,2,2,0,financial_services,ChannelId_2,2,13.454545454545455,14.727272727272727,8.636363636363637,2018.2727272727273,26,11,4775,0,1
CustomerId_1003,20000.0,3333.3333333333335,6,6030.478145774734,32000,5333.333333333333,10000,0.3333333333333333,0.6666666666666666,2,2,3,0,airtime,ChannelId_3,2,14.333333333333334,1.0,2.0,2019.0,12,6,32000,2,0
CustomerId_1004,2000.0,2000.0,1,0.0,2000,2000.0,2000,0.0,1.0,1,1,1,0,airtime,ChannelId_3,4,18.0,22.0,12.0,2018.0,53,1,2000,0,1
CustomerId_1005,48800.0,5422.222222222223,9,5983.6815126178335,61200,6800.0,10000,0.3333333333333333,0.6666666666666666,2,2,3,0,financial_services,ChannelId_3,2,10.11111111111111,28.0,12.0,2018.0,47,9,61200,3,0
CustomerId_1006,1000.0,1000.0,1,0.0,1000,1000.0,1000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,7.0,11.0,12.0,2018.0,65,1,1000,3,0
CustomerId_1007,28000.0,28000.0,1,0.0,28000,28000.0,28000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,6.0,24.0,11.0,2018.0,82,1,28000,3,0
CustomerId_1008,20000.0,10000.0,2,0.0,20000,10000.0,10000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,13.0,9.0,12.0,2018.0,66,2,20000,3,0
